Tickers,marketcap
MSFT,2528087034765
AAPL,2460794526222
GOOG,1980103455765
AMZN,1787770960098
TSLA,1023101448148
FB,948273866258
NVDA,759749680841
JPM,493115686563
V,451076397651
JNJ,434404816508
UNH,432300227191
WMT,412028301402
HD,393258056693
BAC,383915426101
MA,357159614900
PG,354667572971
ADBE,312886068383
NFLX,302363526492
CRM,300210313359
DIS,290067832252
PFE,278820541943
XOM,270186244648
NKE,267638520733
ORCL,255708897402
TMO,250319055525
LLY,248379236786
PYPL,244737714285
KO,244522368836
ACN,243801411800
CSCO,239645508032
AVGO,231830520426
COST,228497955378
ABT,227136331303
PEP,224888339360
CVX,220199464021
DHR,217502859435
VZ,216696132051
MRK,212179212000
ABBV,206788925758
INTC,204107625261
WFC,203189339069
MCD,187311977982
UPS,185292385101
QCOM,184732802734
MS,179172035461
AMD,178593442162
T,178096518873
TXN,175543804763
INTU,171357681010
BX,171340026000
WMS,#N/A
NEE,169319241880
LOW,166364015220
MDT,160568587814
UNP,155858786277
SCHW,155237085043
HON,153537833188
TMUS,147688024051
BLK,147585941995
PM,147524929845
AXP,144499399696
AMAT,141597253983
NOW,137588604858
C,137231912986
GS,135560994365
RTX,133003693993
BMY,131913503027
SBUX,131728941719
BA,129858063369
TGT,126899921420
ISRG,126700140331
EL,124800962967
CVS,124111848728
AMT,123918043339
CHTR,123594315407
AMGN,119068735979
GE,118148555808
SNOW,116297811350
CAT,113202892797
TEAM,112504879981
DE,111268665348
PLD,110019263946
SPGI,109259711133
IBM,106683386658
ANTM,106068709716
MMM,105834572992
SQ,104847899827
ZTS,102597310932
BKNG,100673252215
SYK,99681608127
ADI,99123107903
ADP,97310204033
COP,95438933365
MRNA,93735870894
LMT,93508136110
GM,92047926215
USB,89709218500
LRCX,87917459405
MDLZ,87576340457
UBER,87538122087
SHW,86891785939
MU,86469561313
PNC,86053893545
ALXN,#N/A
GILD,84645769050
DASH,84381681514
MMC,84166044969
TFC,83697729418
CB,83064131430
TJX,82734686869
MO,82517497596
CME,80810215278
CSX,78139540074
CCI,78133693968
F,77926699500
DUK,76842006690
HCA,76284538957
ICE,76222963964
ZM,75758701025
ITW,74888795063
WDAY,73519603027
EW,72422802000
ADSK,72401135338
CI,72161751704
MCO,72132915957
FIS,71160389877
BDX,70074384400
EQIX,69817047386
APD,68623026000
ETN,68479464036
WM,68177188786
REGN,67881142912
KKR,67800879395
ECL,67535291499
FDX,67443223297
NSC,67063282304
COF,66737530898
FISV,66564579956
AON,66174632209
NET,65880606812
CL,65767475229
SO,65591207023
CRWD,64875124964
DXCM,62665913945
KLAC,62662381302
FCX,60545141117
D,60532544611
MRVL,60518123416
DDOG,60228506008
BSX,59949413005
ILMN,59933236907
LULU,58752291489
EMR,58237665163
NXPI,57925571571
PSA,57723193025
HUM,57251705089
NOC,57018046872
PGR,56265565340
U,56243963079
GD,56115406456
FTNT,55944694544
JCI,55695930266
EOG,55489923973
ATVI,54280741466
TWLO,54240458045
ALGN,54235140583
SPG,54155110282
MET,53994068872
MSCI,53802243622
SPOT,53742501996
IDXX,53265649308
EXC,53220484372
XLNX,52996830276
SNPS,52919963416
VMW,52684430634
DG,52494795000
CMG,52416250200
DOCU,52063439532
ROP,51448102662
MAR,50962890096
CVNA,50813640868
KDP,50578666273
PANW,50497700747
APH,50246285346
CDNS,50218963875
INFO,50074538987
BK,49615321184
IQV,48799819160
QTS,48799819160
TROW,48766536113
VEEV,48736171052
MNST,48712544254
A,48702013366
CARR,48632743662
ZS,48428541629
AIG,48331622535
SCCO,48286657290
TTD,48221939869
VRTX,47618836643
NEM,46833374803
EBAY,46267943150
MCHP,46248463663
APTV,46122654050
SLB,45950221965
TT,45823880851
PLTR,45747119127
KHC,45604215915
CTAS,45353538905
KMB,45095814044
PAYX,44929600669
PXD,44735060529
DOW,44421241879
DLR,44361648446
CNC,44264530350
ORLY,43727226226
SIVB,43657550853
LHX,43228456218
CTSH,43060136129
PH,42923976600
RSG,42896584156
WBA,42882434134
DELL,42846507200
MSI,42574977837
STZ,42436230755
PRU,41863500000
TWTR,41779612050
MTCH,41599383971
AEP,41309502541
O,41157221863
EA,41131610754
ODFL,41102667479
ROST,41044761450
KMI,40803333986
MPC,40505672538
OKTA,40444296050
ANET,40392417766
HLT,39988188292
BAX,39785097105
HUBS,39749442922
BIIB,39724191785
AZO,39550394781
FRC,39178050390
SYY,39069536153
SRE,38991096052
IFF,38838781726
ROK,38793593738
TRV,38726673361
PPG,38373465167
GIS,38303982068
GPN,38195477462
EPAM,38079236257
AFL,37713715870
MDB,37511733553
SBAC,37395746305
WELL,37237734803
RMD,37131702755
ROKU,37000800982
CPRT,36910388167
ADM,36883965079
YUM,36706114617
HPQ,36673122408
HSY,36604797955
OTIS,36372959740
STT,36222646964
TDG,35437292490
MTD,35250562197
CBRE,35236962388
DHI,35027830703
DFS,35004962323
VRSK,34854355039
NDAQ,34852408933
WMB,34798429818
FAST,34647844181
AMP,34521359857
ETSY,34447848132
KEYS,34374619296
AJG,34352165481
MCK,34327516822
BILL,34324724641
ANSS,34187451508
EFX,34171399688
XEL,34006584890
ENPH,33946657429
PSX,33945045928
CMI,33804135088
AVB,33656178096
BF.B,33489280730
BF.A,33489280730
GLW,33385339608
BBY,33360112083
APO,33294621676
RKT,33133001913
ALL,32884592226
LEN,32767715816
SGEN,32732997852
CSGP,32724380629
AME,32445657255
EQR,32416392599
DKNG,32369538464
ALB,32332248606
NUE,32078067925
SWK,32039958919
LYB,31744256017
ZBRA,31628812876
KR,31552581781
PEG,31437105086
ARE,31318215114
VLO,31308630996
PCAR,31190407360
IBKR,31135605083
WST,31054954596
AWK,30995747895
LVS,30330395642
BLL,30306770838
FITB,30228909607
VFC,30126393541
PINS,29974955138
OXY,29962112190
TSN,29634817204
PAYC,29427052508
DVN,28826661239
WLTW,28772771916
LUV,28660760474
LH,28444915023
KSU,28357073925
GNRC,28193014585
ES,28174884260
OKE,28134146471
FTV,28058697200
WEC,27994811875
URI,27724170294
WY,27662232078
ZBH,27655228822
GRMN,27517432112
SYF,27461461805
IT,27306638262
ED,27291712744
SWKS,27176244340
SPLK,27110617339
EXPE,27109803470
DAL,27021383417
W,26973501664
VMC,26843567238
EXR,26505201830
LNG,26388408284
SIRI,26436649263
VRSN,26220056658
MLM,26172316992
ASAN,26051388001
ABC,26044021819
NTRS,26019948993
BXS,#N/A
CDW,25933951088
MPWR,25893665510
RNG,25458713959
HES,25453348518
RPRX,25452737160
DLTR,25433026755
BKR,25374790000
ON,25246848302
GWW,25236060501
LYV,25233799899
TSCO,25171303700
ARES,25085626397
CCL,25063525924
HZNP,24920812905
DOV,24889178043
PLUG,24863988860
HIG,24420349275
EIX,24405308380
PCG,24340624394
INVH,24204935235
KMX,24124064896
TER,23829599014
IR,23823314335
MAA,23607956258
HRL,23557810920
XYL,23537861188
HBAN,23504991250
YUMC,23405696839
AVTR,23177481634
PKI,23169094255
STE,23160325955
VIAC,22915753136
POOL,22901456676
RF,22831121392
FOXA,22762366944
FOX,22762366944
CZR,22660044000
ESS,22548376470
TYL,22544767102
BIO,22464352920
KEY,22429192180
SUI,22361490505
TW,22301188785
CERN,22069637854
DRE,21963636103
CHD,21953823680
CTLT,21920623922
MKC,21867767275
TDOC,21839013678
WAT,21780178794
VTR,21779032196
TRMB,21759918808
AEE,21741796544
PODD,21714351677
EXPD,21714177843
DTE,21689697134
TTWO,21656742862
TRU,21650800000
K,21565783832
ULTA,21552768575
RCL,21547573308
UPST,21541115079
PPL,21470475026
CG,21441557618
FE,21232364400
MGM,21145401962
DT,21140873819
CFG,21037207580
HAL,20989063515
JBHT,20919799803
TDY,20731690657
COO,20595300357
BR,20588840651
RJF,20574354996
MTB,20572790386
AMC,20558428000
ALNY,20436239373
ETR,20419689613
CLX,20400121883
BCEI,#N/A
ENTG,20294650775
NTAP,20079675051
SSNC,20054220389
FANG,19920135722
TECH,19824468760
CINF,19680137674
BPFH,#N/A
FLT,19611081388
AGR,19526723053
DRI,19500181225
CRL,19474712929
GPC,19357957203
DISH,19322067472
HPE,19149852449
SBNY,19099966140
UI,19090804072
IP,19084330023
AMCR,18980632395
J,18950305267
HEI,18913350827
CE,18904063544
WDC,18871883251
DPZ,18677328596
AVY,18644736862
HOLX,18641456274
TXG,18613804607
PFG,18446178575
BXP,18432414200
DGX,18327105000
NVR,18297685966
MOH,18292048071
PEAK,18226031822
BRO,18222182639
WAB,18142187424
AKAM,18118133996
BPYU,#N/A
VICI,18075910770
CDAY,18068957450
LYFT,18044520296
BEN,18019630741
BURL,17983581116
IEX,17871204307
ROL,17708837137
QRVO,17690823600
MKL,17628338908
ALLY,17523138154
CMS,17381844000
UDR,17283514641
CLR,17273692800
NUAN,17257805343
FDS,17190013745
VTRS,17064534814
LKQ,17063895114
TXT,16979352886
CPT,16928965556
ESTC,16815402864
CNP,16727830519
PWR,16669568592
PPD,16603385400
MASI,16558772155
AES,16481164678
ABMD,16419589832
QS,16395160888
ATH,16356996854
MAS,16283070230
ZG,16243899105
Z,16243899105
ACGL,16225342452
ACI,16199890000
UAL,16135278487
BSY,16082416509
COUP,15957587627
TFX,15932900764
EXAS,15801633434
WSM,15653207132
ELAN,15626446180
EMN,15576253240
NDSN,15542742455
ELS,15542497315
CAG,15469996050
GME,15458928574
CAR,15073189207
AAP,15059698857
BMRN,15005089198
TREX,14938746558
PTON,14914846571
VER,14860595975
NLOK,14852277033
CLVT,14830010193
EVRG,14790024150
MKTX,14785460120
PCTY,14764654535
CGNX,14677852386
OMC,14651650576
LUMN,14559772953
WHR,14557873801
FNF,14531033832
KIM,14510718038
CAH,14495174333
UHAL,14494078607
INCY,14492632400
L,14470164112
WPC,14466886016
FBHS,14455702950
BEPC,14428851582
WRB,14348500284
MTN,14345649581
IPG,14309067662
PTC,14300612725
RGEN,14292079835
OPEN,14175852876
MOS,14168663582
NWSA,14105386547
NWS,14105386547
EQH,14077844457
CCK,14057786244
CBOE,13965954899
FND,13924350589
FFIV,13916598920
CF,13848670055
LNT,13842448861
SJM,13772365184
IRM,13768073749
HWM,13658162363
MORN,13640584021
AVLR,13626674695
RH,13611742974
HAS,13546385159
DOCN,13539908458
FMC,13447066170
GLOB,13424176633
BG,13367686240
WLK,13358667042
GGG,13354197140
AMH,13352412417
JLL,13343849939
LNC,13320030740
LPLA,13217902464
AAL,13138063710
LDOS,13131548258
STLD,13129525502
WRK,13083294000
AOS,13065607997
BLDR,13022068000
RHI,13011160779
PHM,13003612570
MRO,12985992393
NVAX,12845060062
PKG,12832298718
SC,12795452106
REG,12781050711
HST,12759811410
MPW,12754856636
TPR,12671927472
CPB,12552603789
CERC,#N/A
ZEN,12551811644
PNR,12546557073
CSL,12528951764
BRKR,12516103470
ATO,12481356540
NLY,12442038069
QGEN,12423227473
TRGP,12414845853
DAR,12397737066
WAL,12309334721
CHRW,12282518597
CNA,12265467687
IAC,12235734263
RPM,12149163571
RUN,12142907402
ALLE,12125085697
BKI,12103308347
IVZ,12065161969
BAH,12030609305
MHK,12010307890
XRAY,12008077083
NVCR,11945436898
WTRG,11911768433
SNA,11886753600
LAMR,11873368436
AFG,11862922472
GDDY,11815097236
FSLR,11793746277
EWBC,11786836603
DECK,11729949976
WSO,11709178255
FIVE,11703508175
LII,11696297433
JKHY,11679229324
CMA,11640750016
DKS,11620961384
BWA,11568955575
GLPI,11412246134
WIX,11387498864
HUBB,11326714871
LSCC,11292047536
XEC,#N/A
UWMC,11201034263
CTXS,11185140742
MCFE,11177321656
CLF,11152022228
SITE,11105868902
CUBE,11099393449
AXON,11095910000
MANH,11045843619
SCI,11017756955
HSIC,10989946200
LEA,10940829510
FIVN,10932063402
CABO,10924171518
TTC,10919087262
NTRA,10882188179
WYNN,10866049957
CONE,10844647102
UAA,10814384789
UA,10814384789
RE,10793019334
SNX,10791320702
LSI,10790702293
DVA,10782038751
APA,10698428412
CROX,10626071837
ERIE,10625915353
DBX,10601760977
XLRN,10579737133
JEF,10568954272
GH,10551924250
UHS,10518392163
REXR,10511703654
RS,10452647013
CLDR,#N/A
GWRE,10430575150
MIDD,10418251226
JNPR,10415550236
TAP,10351005228
OLN,10336961746
NWL,10320201671
FICO,10277711711
ZION,10245223957
HRC,10218402669
ACM,10195253102
PFPT,10159620000
TPL,10046658206
AGL,10042151895
KNX,10002234492
AZPN,9966200011
PEN,9963207795
FRT,9946161681
SYNH,9925398366
PENN,9874213800
SMG,9870683078
SYNA,9850055343
NI,9849031338
NTLA,9840476944
CACC,9809009449
SEE,9796121410
LAD,9774847780
TTEK,9717132120
AA,9714392609
PEGA,9700576294
MRVI,9690573952
ARMK,9688970902
DOX,9687725208
ST,9630392128
AGCO,9584760630
G,9583359067
Y,9555648986
OC,9540198049
GL,9534455879
CPRI,9530054080
CNXC,9527931493
CIEN,9514196007
NCLH,9483945479
VST,9483628225
M,9433607924
VRT,9417715971
JBL,9373926509
UGI,9371722994
OVV,9370318956
GPS,9334925985
STNE,9332814290
PLTK,9323274485
STOR,9317280331
H,9313137344
FHN,9284680975
OSH,9280519706
BERY,9277200164
MKSI,9234461134
RL,9195503486
SMAR,9174169557
CNST,#N/A
XPO,9159665189
UTHR,9157271627
AIZ,9128808545
DLB,9117768912
SAIA,9077165759
IPGP,9066769305
SEIC,9010240974
PLAN,8959531687
ITT,8877575921
GNTX,8874230508
BLD,8858827325
COTY,8847729146
CHDN,8805712453
PAG,8781570851
NRG,8740738206
CSOD,#N/A
DNB,8731577250
VNO,8727231143
ARW,8696685937
CTVA,#N/A
WSC,8673984080
TNDM,8670309011
ATR,8655605740
CHPT,8652190905
TSP,8638224412
KSS,8631631050
TPX,8630223652
YETI,8577487436
JAZZ,8576858794
CBSH,8549052900
PVH,8546079144
OGN,8544466693
BRKS,8535208138
BJ,8520339568
LECO,8518895607
THC,8476864259
ZNGA,8468568295
CFR,8461352194
AIRC,8442674620
AIV,8442674620
AN,8433447375
AGNC,8419529612
DXC,8409641630
MSTR,8407574445
NBIX,8348268720
BFAM,8347847371
FAF,8339623114
KRC,8308370117
LW,8254325038
MP,8245706416
EGP,8222291215
CHH,8187524381
SLAB,8157205803
OLED,8131534502
JHG,8128351685
LFUS,8125364317
NNN,8097690755
EQT,8072982326
COLD,8069776000
HLI,8066865273
CFX,8044010334
NYT,8041241496
PSTG,8039087017
SF,8029888826
WK,7992371364
PLNT,7992152913
BHVN,7991152500
MEDP,7973827909
MAT,7963255315
OSK,7963129926
NEWR,7957332188
ORI,7951525212
WH,7932229263
ATUS,7910972466
PBCT,7901248808
BC,7835197159
FR,7813740797
OMCL,7790593896
TOL,7788664635
FFIN,7753385841
AYI,7733002653
CHE,7725384984
FOXF,7716817403
DCI,7709862470
ARWR,7708925502
CREE,#N/A
PNFP,7705006483
HII,7692511470
SWAV,7684015503
INSP,7635918890
RGA,7588792983
AXTA,7583801830
USFD,7574880400
NLSN,7569778920
MARA,7564222207
HTA,7563704925
NTNX,7555532977
PII,7539708680
RPD,7532649431
STWD,7532360930
BL,7523125890
AMG,7518053370
ADT,7478080013
WOOF,7473295846
WWD,7458126611
PNW,7457322507
GMED,7444717466
DSSI,#N/A
ACC,7433745317
SKX,7432061844
VOYA,7427758428
CASY,7401526061
SRPT,7396313797
CHK,7392671928
SPT,7383116875
CWEN,7373561156
BOKF,7373465585
MRTX,7370891435
HUN,7367257552
COR,7362898012
WU,7344660766
STAG,7250927796
BRX,7246516846
SNV,7202789550
IAA,7199433196
RNR,7196589059
PFGC,7186430874
AMBA,7165857509
VAC,7164063245
TNET,7141562519
X,7134143176
PB,7124949830
MTZ,7107888387
OMF,7053822670
BBIO,7047217957
PPC,7047092586
VICR,7033158764
RCM,7012282155
RGLD,7004155155
WCC,6988330228
BYD,6987890185
NVST,6987247266
GTLS,6977706215
ALK,6973234571
EME,6942939448
EVR,6936626931
SGMS,6933451180
COLM,6928012751
IIVI,6920308116
OGE,6894009505
NXST,6876678074
OHI,6868115579
CVAC,6859404658
WTS,6858625401
LSTR,6842776531
POST,6792468236
DDS,6770624634
BPOP,6748732987
WEX,6742949206
APPS,6738674716
BPMC,6728128640
NCNO,6698120252
IIPR,6688438153
DD,#N/A
EXPI,6677524372
ROLL,6673155089
EXP,6659949521
CHNG,6653537662
VRNS,6643337193
LITE,6637140220
GT,6624438160
ASGN,6617741825
INGR,6608348547
CACI,6592460084
GBCI,6564822398
SHC,6524063562
AZEK,6521957510
EXPO,6490487484
ASH,6455346764
PRI,6395381086
APPN,6383711191
ESI,6383112912
DEI,6361356625
EHC,6357570262
VVV,6355542668
COHR,6354619390
GPK,6344667359
TXRH,6336998401
THO,6334410886
INOV,6332496719
KBR,6305824342
BEAM,6275987658
CR,6273812995
FSR,6265456910
ALGM,6254491656
POWI,6249758510
EEFT,6248638748
REYN,6244567204
NVT,6233195541
CERT,6221109277
IGT,6219443465
ALTR,6211513781
CELH,6208099591
DNLI,6202754256
RVLV,6195026098
CADE,6154648125
HBI,6152983583
HGV,6129662732
AMEH,6106507083
SON,6096231220
UPWK,6092373369
OZK,6063533532
AR,6046291871
PACB,6026745488
BE,5992140262
QDEL,5987813406
MSA,5983923877
HELE,5979294574
RRC,5977876106
SRC,5964770603
AMED,5959396132
FSLY,5946675071
LEG,5941949703
CUZ,5940085713
LPX,5933989165
HAYW,5915660519
HOG,5907334097
NATI,5906985942
SAM,5890878958
SHLS,5881265100
